"Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Credit Score Alpha","Executive Gender","Executive Title","Fax Number Combined","IUSA Number","Location Employee Size Range","Location Sales Volume Range","Phone Number Combined","Primary SIC Code","Primary SIC Description","SIC Code 1","SIC Code 1 Description","Record Type"
"33 Quik Mart","Ken","Chisholm","12940 Jefferson Hwy","Bumpass","VA","23024","B","Male","Owner","","20-331-5403","5 to 9","$2.5-5 Million","(540) 872-4460","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"7 Day Junior 1","Dharma","Patel","104 14th St NW # 5","Charlottesville","VA","22903","C+","Male","Owner","","37-851-8971","1 to 4","$1-2.5 Million","(434) 220-1425","554101","Service Stations-Gasoline & Oil","554101","Service Stations-Gasoline & Oil","Verified"
"7-Eleven","","","1245 Seminole Trl # A","Charlottesville","VA","22901","B+","","","","42-551-6996","5 to 9","$1-2.5 Million","(434) 975-0014","541103","Convenience Stores","541103","Convenience Stores","Verified"
"7-Eleven","","","1849 Seminole Trl","Charlottesville","VA","22901","B+","","","","41-972-7755","5 to 9","$1-2.5 Million","(434) 973-6373","541103","Convenience Stores","541103","Convenience Stores","Verified"
"7-Eleven","","","1907 Emmet St N","Charlottesville","VA","22901","B+","","","","70-706-4636","5 to 9","$1-2.5 Million","(434) 295-0565","541103","Convenience Stores","541103","Convenience Stores","Verified"
"7-Eleven","","","1915 Boulderview Rd","Charlottesville","VA","22911","B","","","","73-546-9766","5 to 9","$1-2.5 Million","(434) 328-8756","541103","Convenience Stores","541103","Convenience Stores","Verified"
"7-Eleven","William","Simmons","2025 Ivy Rd","Charlottesville","VA","22903","A","Male","Owner","","12-355-3018","10 to 19","$1-2.5 Million","(434) 295-0350","541103","Convenience Stores","541103","Convenience Stores","Verified"
"7-Eleven","Bill","Simmons","2218 Barracks Rd","Charlottesville","VA","22903","B+","Male","Owner","","12-354-4124","5 to 9","$1-2.5 Million","(434) 293-7070","541103","Convenience Stores","541103","Convenience Stores","Verified"
"7-Eleven","Joanne","Pitman","3455 Seminole Trl","Charlottesville","VA","22911","A","Female","Site Manager","4348171708","56-224-2446","10 to 19","$1-2.5 Million","(434) 817-1503","541103","Convenience Stores","541103","Convenience Stores","Verified"
"7-Eleven","Khlail","Ahmad","385 Greenbrier Dr","Charlottesville","VA","22901","B+","Male","Owner","","43-490-1399","5 to 9","$1-2.5 Million","(434) 973-1445","541103","Convenience Stores","541103","Convenience Stores","Verified"
"African Marketplace","","","1901 Commonwealth Dr","Charlottesville","VA","22901","U","","","","42-524-6203","1 to 4","Less Than $500,000","(434) 326-5666","539901","General Merchandise-Retail","539901","General Merchandise-Retail","Verified"
"Aharts Market","","","","Crozet","VA","22932","C+","","","","73-672-5549","5 to 9","$1-2.5 Million","(610) 776-0244","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Army & Air Force Exchange Svc","","","600 Massie Rd","Charlottesville","VA","22903","C","","","","74-410-5988","1 to 4","","(434) 293-3383","531104","Retail Shops","531104","Retail Shops","Verified"
"Ashley's Market","Barry","Patrick","6445 Rockfish Valley Hwy","Afton","VA","22920","B+","Male","Owner","","89-136-4135","5 to 9","$500,000-1 Million","(434) 361-2087","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"B & L Country Store","Ted","Thomas","1205 Fredericks Hall Rd","Bumpass","VA","23024","B+","Male","Owner","","47-506-6387","10 to 19","$1-2.5 Million","(540) 872-3844","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"B & R Market","Akbr","Mohammad","800 Avon St","Charlottesville","VA","22902","C+","Male","Owner","","12-352-7681","1 to 4","Less Than $500,000","(434) 295-6557","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"B & R Market","Carol","Kail","18 Hickory Creek Rd","Louisa","VA","23093","C+","Female","Owner","","96-880-3544","1 to 4","Less Than $500,000","(540) 967-1634","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Barracks Road Market","Dwayne","Pritchett","2613 Barracks Rd","Charlottesville","VA","22901","C","Male","Owner","","58-875-8961","1 to 4","Less Than $500,000","(434) 293-3926","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Batesville Store","Roberta","Keil","6624 Plank Rd","Batesville","VA","22924","B","Female","Manager","","65-926-0624","5 to 9","Less Than $500,000","(434) 823-2001","581208","Restaurants","581208","Restaurants","Verified"
"Beaver Dam Market","","","1505 Richmond Rd # B","Troy","VA","22974","B","","","","30-998-1421","1 to 4","$500,000-1 Million","(434) 295-1313","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Beljenber Enterprise LLC","Beljenber","Bhaliwal","722 Rio Road West # 1","Charlottesville","VA","22901","B","","Manager","","41-501-2690","5 to 9","$1-2.5 Million","(434) 245-1610","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
